question_id,paraphrased_1,model_output_1,rot_1,paraphrased_2,model_output_2,rot_2,bleu_model_output,rouge_model_output,cosine_model_output,bleu_rot,rouge_rot,cosine_rot
2500,"How crucial is your partner's appearance to you, and has it ever led to a breakup, even though you had a great relationship going?","My partner's appearance is not crucial to me. I value them for their personality, intelligence, and kindness. However, I have had friends who have broken up with their partners due to their appearance. It is important to remember that everyone has their own preferences and what may be important to one person may not be important to another. It is also important to communicate and understand each other's needs and values in a relationship.","Physical appearances are not as crucial as inner qualities of a person in a relationship, and it may lead to breakups due to different preferences. Communication and understanding each other's needs and values are important in any relationship.","How does your partner's appearance affect your relationship, and has it ever led to a split, despite having a great bond?","My partner's appearance has never affected our relationship, and it has never led to a split. We have a great bond and love each other for who we are, inside and out.","Appearances do not matter in a relationship, it is the love and connection that holds it together.",0.01121305876778837,0.22018348623853215,0.5170486569404602,0.019684158029228356,0.25,0.5286431193351746
2500,"How crucial is your partner's appearance to you, and has it ever led to a breakup, even though you had a great relationship going?","My partner's appearance is not crucial to me. I value them for their personality, intelligence, and kindness. However, I have had friends who have broken up with their partners due to their appearance. It is important to remember that everyone has their own preferences and what may be important to one person may not be important to another. It is also important to communicate and understand each other's needs and values in a relationship.","Physical appearances are not as crucial as inner qualities of a person in a relationship, and it may lead to breakups due to different preferences. Communication and understanding each other's needs and values are important in any relationship.","How much does your partner's physical appearance matter to you, and has it caused a breakup, despite the relationship being successful otherwise?","It depends on the individual and the nature of the relationship. Some people place a high value on physical appearance and may end a relationship if their partner does not meet their standards. Others may not be as concerned and may be able to overlook physical flaws or differences. However, physical appearance can be a source of conflict and dissatisfaction in a relationship, and may ultimately lead to a breakup if not addressed.","Physical attraction is subjective, but do not break up over it if other aspects of the relationship are good.",0.02348916862898164,0.1879194630872483,0.5548312664031982,0.005601434560795967,0.17241379310344826,0.5742447137832641
2500,"How crucial is your partner's appearance to you, and has it ever led to a breakup, even though you had a great relationship going?","My partner's appearance is not crucial to me. I value them for their personality, intelligence, and kindness. However, I have had friends who have broken up with their partners due to their appearance. It is important to remember that everyone has their own preferences and what may be important to one person may not be important to another. It is also important to communicate and understand each other's needs and values in a relationship.","Physical appearances are not as crucial as inner qualities of a person in a relationship, and it may lead to breakups due to different preferences. Communication and understanding each other's needs and values are important in any relationship.","Can you describe how much your partner's appearance matters to you, and has it ever caused a breakup, despite having a successful relationship?","My partner's appearance matters to me a lot, but it has never caused a breakup in our successful relationship.","Appearance is important, but love is more significant. Appearance cannot break a strong bond.",0.00356215658355155,0.20833333333333334,0.5896686911582947,0.0025723724169625702,0.07547169811320754,0.5901570439338684
2500,"How crucial is your partner's appearance to you, and has it ever led to a breakup, even though you had a great relationship going?","My partner's appearance is not crucial to me. I value them for their personality, intelligence, and kindness. However, I have had friends who have broken up with their partners due to their appearance. It is important to remember that everyone has their own preferences and what may be important to one person may not be important to another. It is also important to communicate and understand each other's needs and values in a relationship.","Physical appearances are not as crucial as inner qualities of a person in a relationship, and it may lead to breakups due to different preferences. Communication and understanding each other's needs and values are important in any relationship.","How significant is your partner's appearance to you, and has it ever contributed to a breakup, despite the relationship being good overall?","My partner's appearance is not significant to me. It has never contributed to a breakup, despite the relationship being good overall.","Physical appearance is not essential in a relationship, love and connection are what matter. Don't let superficial things ruin a good relationship.",0.017548220639388747,0.2653061224489796,0.6205328702926636,0.027343946832683305,0.2903225806451613,0.6318248271942138
2500,"How does your partner's appearance affect your relationship, and has it ever led to a split, despite having a great bond?","My partner's appearance has never affected our relationship, and it has never led to a split. We have a great bond and love each other for who we are, inside and out.","Appearances do not matter in a relationship, it is the love and connection that holds it together.","How much does your partner's physical appearance matter to you, and has it caused a breakup, despite the relationship being successful otherwise?","It depends on the individual and the nature of the relationship. Some people place a high value on physical appearance and may end a relationship if their partner does not meet their standards. Others may not be as concerned and may be able to overlook physical flaws or differences. However, physical appearance can be a source of conflict and dissatisfaction in a relationship, and may ultimately lead to a breakup if not addressed.","Physical attraction is subjective, but do not break up over it if other aspects of the relationship are good.",0.008846613613324414,0.1320754716981132,0.3996194005012512,0.027076576267554473,0.2222222222222222,0.45241391658782965
2500,"How does your partner's appearance affect your relationship, and has it ever led to a split, despite having a great bond?","My partner's appearance has never affected our relationship, and it has never led to a split. We have a great bond and love each other for who we are, inside and out.","Appearances do not matter in a relationship, it is the love and connection that holds it together.","Can you describe how much your partner's appearance matters to you, and has it ever caused a breakup, despite having a successful relationship?","My partner's appearance matters to me a lot, but it has never caused a breakup in our successful relationship.","Appearance is important, but love is more significant. Appearance cannot break a strong bond.",0.04858194390310744,0.30188679245283023,0.8248653411865234,0.015172455787008748,0.1935483870967742,0.8075787663459779
2500,"How does your partner's appearance affect your relationship, and has it ever led to a split, despite having a great bond?","My partner's appearance has never affected our relationship, and it has never led to a split. We have a great bond and love each other for who we are, inside and out.","Appearances do not matter in a relationship, it is the love and connection that holds it together.","How significant is your partner's appearance to you, and has it ever contributed to a breakup, despite the relationship being good overall?","My partner's appearance is not significant to me. It has never contributed to a breakup, despite the relationship being good overall.","Physical appearance is not essential in a relationship, love and connection are what matter. Don't let superficial things ruin a good relationship.",0.03935347367695462,0.32727272727272727,0.6632228493690491,0.0777031456121502,0.39999999999999997,0.6977667450904846
2500,"How much does your partner's physical appearance matter to you, and has it caused a breakup, despite the relationship being successful otherwise?","It depends on the individual and the nature of the relationship. Some people place a high value on physical appearance and may end a relationship if their partner does not meet their standards. Others may not be as concerned and may be able to overlook physical flaws or differences. However, physical appearance can be a source of conflict and dissatisfaction in a relationship, and may ultimately lead to a breakup if not addressed.","Physical attraction is subjective, but do not break up over it if other aspects of the relationship are good.","Can you describe how much your partner's appearance matters to you, and has it ever caused a breakup, despite having a successful relationship?","My partner's appearance matters to me a lot, but it has never caused a breakup in our successful relationship.","Appearance is important, but love is more significant. Appearance cannot break a strong bond.",0.0017171772444742827,0.10752688172043011,0.46707209944725037,0.013152666606694629,0.18181818181818182,0.49499602317810065
2500,"How much does your partner's physical appearance matter to you, and has it caused a breakup, despite the relationship being successful otherwise?","It depends on the individual and the nature of the relationship. Some people place a high value on physical appearance and may end a relationship if their partner does not meet their standards. Others may not be as concerned and may be able to overlook physical flaws or differences. However, physical appearance can be a source of conflict and dissatisfaction in a relationship, and may ultimately lead to a breakup if not addressed.","Physical attraction is subjective, but do not break up over it if other aspects of the relationship are good.","How significant is your partner's appearance to you, and has it ever contributed to a breakup, despite the relationship being good overall?","My partner's appearance is not significant to me. It has never contributed to a breakup, despite the relationship being good overall.","Physical appearance is not essential in a relationship, love and connection are what matter. Don't let superficial things ruin a good relationship.",0.002296454196410347,0.1263157894736842,0.3671530485153198,0.012285946074705657,0.28571428571428575,0.4402354955673218
2500,"Can you describe how much your partner's appearance matters to you, and has it ever caused a breakup, despite having a successful relationship?","My partner's appearance matters to me a lot, but it has never caused a breakup in our successful relationship.","Appearance is important, but love is more significant. Appearance cannot break a strong bond.","How significant is your partner's appearance to you, and has it ever contributed to a breakup, despite the relationship being good overall?","My partner's appearance is not significant to me. It has never contributed to a breakup, despite the relationship being good overall.","Physical appearance is not essential in a relationship, love and connection are what matter. Don't let superficial things ruin a good relationship.",0.06183522915385178,0.5714285714285713,0.8428633809089661,0.011433361115787456,0.2162162162162162,0.8187862634658813
